,Label,Edit,CommentCount,BodyLength,Reputation,Views,UpVotes,DownVotes,InlineCode,BlockCode,BlockCodeLine,Hyperlink
0,1,0,2,18,1678,109,131,50,0,1,3,0
1,0,0,0,91,423,87,27,14,0,4,12,2
2,0,0,0,47,67907,5948,1966,35,1,2,15,0
3,0,1,0,94,695,87,55,5,1,0,0,0
4,1,0,0,42,10876,925,714,1,0,2,12,0
5,1,0,0,88,477916,62572,18508,53879,14,1,1,1
6,0,0,2,55,1525,59,43,4,2,0,0,0
7,1,0,1,36,23288,1990,1366,13,1,0,0,0
8,1,0,0,90,10363,1014,2079,274,4,0,0,0
9,1,1,3,100,3322,422,293,58,1,2,12,0
10,0,1,2,94,217,22,20,0,0,2,9,0
11,1,0,0,24,593,48,66,0,0,0,0,3
12,1,0,1,53,393,45,34,1,0,0,0,0
13,1,0,0,38,161426,15860,2680,33,2,0,0,1
14,1,0,3,169,304622,34310,14209,14165,2,1,14,1
15,1,0,0,94,510,40,6,3,2,1,13,0
16,1,1,0,110,586865,89361,7069,3864,10,2,2,0
17,0,1,0,68,81,20,3,0,1,0,0,2
18,1,1,3,175,30684,2869,4111,819,3,4,14,1
19,1,1,0,233,61,3,0,0,11,4,14,0
20,1,1,0,51,16,1,2,0,8,0,0,0
21,1,0,1,31,484,54,430,29,1,2,5,0
22,0,0,0,90,145,9,19,0,0,3,13,0
23,1,0,0,209,16881,1314,862,128,1,2,38,0
24,1,1,12,171,19459,4170,1049,1547,1,2,33,0
25,0,1,0,170,3903,232,717,12,0,1,2,2
26,1,1,0,335,3512,215,49,44,4,0,0,4
27,0,1,0,321,692,335,525,5,6,0,0,1
28,0,1,2,140,11,3,0,0,0,2,14,0
29,1,0,0,18,800,57,54,1,0,1,2,0
30,1,1,2,250,510,40,6,3,5,1,22,0
31,0,0,0,14,252249,22297,5881,962,0,1,1,0
32,1,0,0,30,61,3,0,0,2,1,1,0
33,1,1,0,139,1132,145,71,34,2,1,18,1
34,0,0,0,38,23288,1990,1366,13,2,0,0,0
35,1,0,1,54,247,20,20,0,4,0,0,0
36,0,1,0,214,4588,464,211,39,18,4,5,1
37,1,0,1,11,252249,22297,5881,962,0,1,2,0
38,1,0,1,86,37572,2444,2148,0,7,2,7,1
39,1,0,0,41,953,498,1008,3023,1,1,10,0
40,0,0,1,13,39,5,0,0,0,0,0,0
41,0,0,1,8,531,94,88,20,0,0,0,0
42,1,0,6,233,1132,145,71,34,7,3,50,0
43,1,0,0,57,913,91,25,5,0,0,0,2
44,1,0,0,76,1318,64,121,13,2,1,3,0
45,1,1,3,127,4584,602,259,83,0,2,35,1
46,1,0,6,30,4584,602,259,83,0,2,3,0
47,1,0,1,122,144036,21385,8283,6276,5,1,25,0
48,1,0,0,103,615041,126104,23439,1483,2,1,28,0
49,1,1,4,108,33,3,3,0,5,1,13,1
50,0,0,0,29,8255,1571,2572,121,2,1,2,1
51,1,0,0,34,44660,8780,2964,3976,3,0,0,0
52,1,1,16,117,615041,126104,23439,1483,3,4,24,0
53,1,1,3,118,629,56,93,2,5,0,0,0
54,1,0,2,17,23288,1990,1366,13,1,1,1,0
55,1,0,0,24,615041,126104,23439,1483,2,1,1,2
56,1,1,0,41,61,2,37,0,3,0,0,0
57,1,0,0,85,1272,65,52,4,5,0,0,0
58,1,0,1,18,373,27,4,1,0,1,9,0
59,0,0,4,14,972,77,24,5,1,1,1,0
60,1,1,0,49,107,16,9,0,0,1,6,0
61,0,0,1,50,11617,778,147,36,2,0,0,2
62,0,0,1,52,11727,942,812,303,0,1,11,0
63,1,1,0,130,753,68,255,1,0,3,18,0
64,1,0,0,42,1151,71,33,3,0,1,3,1
65,1,0,3,137,4584,602,259,83,0,1,42,1
66,1,0,0,33,326,20,37,2,0,1,13,0
67,0,0,0,24,476,46,63,7,0,1,7,0
68,1,0,0,73,615041,126104,23439,1483,1,1,20,1
69,0,1,2,60,46998,8605,848,1,4,2,14,0
