,Label,Edit,CommentCount,BodyLength,Reputation,Views,UpVotes,DownVotes,InlineCode,BlockCode,BlockCodeLine,Hyperlink
0,1,0,1,129,2521,209,21,603,4,0,0,1
1,1,0,2,15,8636,1782,2410,134,1,1,3,0
2,1,1,8,60,699,98,24,2,2,1,16,0
3,1,1,1,145,7789,820,823,247,6,0,0,0
4,0,0,0,173,1961,196,823,166,2,1,23,1
5,0,0,0,48,1478,124,219,1,1,0,0,0
6,0,1,0,62,86106,4699,1691,794,0,1,7,0
7,1,1,1,92,10876,925,714,1,0,2,4,0
8,1,0,1,28,994,75,37,7,0,2,2,0
9,0,0,0,166,11740,1783,757,44,7,1,4,2
10,1,0,0,30,67907,5948,1966,35,0,2,6,1
11,1,0,0,70,161,23,79,0,3,2,7,1
12,1,0,2,66,35489,9351,1001,9455,0,1,7,0
13,0,0,0,135,12108,1262,20,5,2,3,16,0
14,1,1,0,16,144,23,3,0,0,1,3,0
15,0,0,0,44,43,13,0,0,2,0,0,0
16,1,1,3,183,759,45,2,13,3,0,0,0
17,1,0,0,101,18009,1348,875,52,5,2,12,0
18,0,0,0,113,3234,333,685,6,2,0,0,0
19,1,0,0,106,155,17,8,0,0,0,0,0
20,1,0,0,203,18009,1348,875,52,12,1,5,1
21,0,1,0,192,949,52,45,0,6,0,0,1
22,0,0,0,29,951,83,114,2,2,0,0,1
23,0,1,2,105,1228,174,84,1,0,1,27,0
24,0,0,0,105,1376,224,84,23,4,1,2,0
25,1,0,0,51,16,0,0,0,1,2,2,0
26,1,0,3,158,1853,178,446,7,0,1,20,3
27,1,0,1,29,61,4,2,0,1,0,0,1
28,0,0,1,10,1,0,0,0,0,0,0,0
29,1,1,10,156,1023,90,89,5,3,0,0,0
30,1,0,0,14,665,52,131,0,0,1,1,0
31,1,1,0,179,14409,1439,7,3,0,2,42,4
32,1,1,2,124,17586,2112,7330,654,6,1,24,0
33,0,0,0,81,1421,94,369,4,0,1,20,0
34,1,0,1,46,32568,3973,3088,3211,2,0,0,0
35,0,0,0,68,10876,925,714,1,0,2,13,0
36,1,0,0,132,304622,34310,14209,14165,9,2,4,0
37,0,0,0,143,759,45,2,13,12,1,11,0
38,1,0,0,59,33900,4197,639,3108,8,1,2,0
39,1,1,1,89,1147,71,74,45,0,2,28,0
40,1,0,1,604,6642,2148,5629,2277,1,1,6,1
41,0,1,2,47,1023,90,89,5,2,0,0,0
42,0,1,0,99,1376,224,84,23,1,1,19,0
43,1,1,0,86,152,22,12,2,0,3,3,0
44,0,0,0,41,161,23,79,0,1,1,5,0
45,0,0,0,132,47,15,2,0,1,4,10,0
46,0,1,0,36,155,17,8,0,1,1,7,0
47,0,0,0,22,621,97,61,1,0,2,5,0
48,1,1,3,175,39687,6491,2056,4107,9,3,13,0
49,0,0,0,79,1376,224,84,23,2,1,1,0
50,0,1,0,56,298,19,14,0,1,1,20,0
51,1,1,0,64,58,12,2,0,5,1,1,0
52,1,0,4,42,365,76,60,1,0,1,14,0
53,1,1,0,86,673,104,44,4,2,1,22,1
54,1,0,1,372,3276,432,1384,197,0,3,59,0
55,0,1,0,50,152,22,12,2,0,2,10,0
56,0,0,0,67,521,66,61,5,0,2,11,0
57,1,0,0,65,379372,41845,14513,4457,1,3,5,0
58,1,1,7,145,758,76,37,0,3,0,0,0
59,1,1,0,57,152,22,12,2,0,1,10,0
60,1,0,0,39,3639,347,182,18,2,0,0,0
61,0,0,0,34,366,30,6,0,2,0,0,0
62,1,1,1,45,101129,6856,3898,1015,5,0,0,0
63,1,1,0,147,759,45,2,13,5,0,0,0
