,Label,Edit,CommentCount,BodyLength,Reputation,Views,UpVotes,DownVotes,InlineCode,BlockCode,BlockCodeLine,Hyperlink
0,1,0,3,157,136140,8521,16645,626,12,0,0,0
1,1,0,2,199,91473,13493,3793,3687,12,1,32,0
2,0,1,0,39,95528,6872,2897,13,1,1,3,1
3,1,1,1,85,427,32,13,0,0,1,12,1
4,1,0,0,66,23,10,48,0,0,0,0,0
5,1,0,0,113,331,13,9,0,2,1,17,0
6,1,0,0,85,1337,61,2625,1,3,0,0,0
7,1,1,13,179,615041,126104,23439,1483,2,4,23,2
8,0,1,0,73,252249,22297,5881,962,2,1,11,0
9,1,0,0,28,137251,8564,10558,9025,3,0,0,0
10,1,1,0,29,1323,106,92,59,1,1,1,0
11,0,0,0,52,125,16,730,0,2,1,3,0
12,0,0,0,41,101,1,7,0,0,1,1,0
13,0,1,0,37,386,32,10,2,0,0,0,0
14,0,0,0,49,23,8,5,0,0,0,0,0
15,1,1,0,50,15516,1473,968,609,2,1,5,1
16,1,1,0,77,55035,4224,2176,130,4,2,18,0
17,0,0,2,20,1349,86,59,3,0,1,6,0
18,1,1,0,33,24359,1310,14,17,0,1,5,0
19,0,0,1,44,590,40,106,10,1,0,0,0
20,1,1,2,53,73982,14868,12512,5089,2,0,0,1
21,1,0,2,176,20673,2489,55,11,12,2,4,1
22,0,0,0,82,1250,169,210,8,4,1,32,0
23,1,1,0,123,1024,64,81,14,5,0,0,1
24,1,0,4,11,427,32,13,0,0,0,0,0
25,0,0,0,48,68,9,2,0,1,0,0,0
26,1,0,0,184,138,13,45,0,0,1,15,0
27,1,1,1,230,66,6,0,0,0,6,8,0
28,1,0,0,44,2289,424,1152,280,0,0,0,0
29,1,0,0,36,379372,41845,14513,4457,1,1,7,0
30,0,0,0,74,1541,129,222,23,0,1,13,0
31,0,0,0,64,6360,5416,377,3,3,2,8,1
32,1,0,0,46,1012,229,172,5,2,0,0,1
33,1,1,2,132,633,146,42,33,0,1,8,1
34,1,0,0,88,13958,1304,3315,15,0,2,15,1
35,0,0,0,66,8332,547,312,225,3,2,6,0
36,0,1,1,55,46,2,0,0,4,1,2,0
37,0,0,0,75,11,14,0,0,0,0,0,0
38,1,1,0,84,633,146,42,33,0,2,10,0
39,1,0,0,18,18408,903,116,505,1,1,1,0
40,0,0,0,52,95528,6872,2897,13,1,1,4,0
41,0,0,0,38,1588,275,262,65,1,0,0,0
42,0,0,0,66,266035,64481,10142,8528,2,2,9,0
43,1,0,0,76,13958,1304,3315,15,0,1,10,1
44,1,0,3,96,16086,2362,826,623,1,0,0,0
45,0,1,3,99,24359,1310,14,17,0,2,26,0
46,0,1,3,257,387,26,77,3,1,2,39,1
47,1,0,0,397,3745,271,220,7,3,0,0,1
48,0,0,2,21,7612,1052,912,171,0,1,2,1
49,0,0,1,45,802,31,15,1,0,2,3,0
50,1,1,3,36,5541,331,802,41,0,2,8,0
51,1,1,4,73,13958,1304,3315,15,0,1,13,0
52,1,1,4,87,24773,5088,2187,18,0,2,12,0
53,0,1,3,379,138014,11797,2844,4443,0,0,0,1
54,1,0,0,160,156,11,22,1,4,0,0,0
55,1,1,0,107,16811,2135,333,672,8,3,3,0
56,1,1,1,333,769,82,215,34,13,5,28,2
57,0,1,0,22,615041,126104,23439,1483,2,2,2,1
58,1,0,2,42,33900,4197,639,3108,1,1,2,0
59,1,0,2,111,27066,3147,4430,2273,4,2,3,0
60,0,0,0,143,104249,9251,1335,142,0,2,3,0
61,1,1,0,208,635,78,65,18,0,3,51,0
62,0,0,0,152,4481,339,30,42,0,1,13,1
63,1,0,0,124,690,125,750,43,2,1,9,0
64,1,0,0,92,7626,947,379,2,0,2,41,0
65,1,1,3,146,615041,126104,23439,1483,7,4,25,4
66,1,1,0,89,615041,126104,23439,1483,5,2,18,1
67,0,0,3,33,51,6,1,0,0,0,0,0
68,1,0,0,61,193,13,125,0,3,0,0,0
