,Label,Edit,CommentCount,BodyLength,Reputation,Views,UpVotes,DownVotes,InlineCode,BlockCode,BlockCodeLine,Hyperlink,UnigramCost,BigramCost
0,1,0,1,126,2521,209,21,603,4,0,0,1,10.75515079674257,12.045208187580046
1,1,0,2,14,8636,1782,2410,134,1,1,3,0,11.638158378767983,12.042045755002212
2,1,1,8,58,699,98,24,2,2,1,16,0,13.248113097504254,12.235624890770868
3,1,1,1,141,7789,820,823,247,6,0,0,0,10.969637846549334,12.098685159785163
4,0,0,0,169,1961,196,823,166,2,1,23,1,12.770225076063129,12.269888049471358
5,0,0,0,48,1478,124,219,1,1,0,0,0,10.094031004724336,11.894323905557108
6,0,1,0,61,86106,4699,1691,794,0,1,7,0,11.727766341122384,11.998329025233929
7,1,1,1,88,10876,925,714,1,0,2,4,0,11.429834669731369,12.117514397980258
8,1,0,1,26,994,75,37,7,0,2,2,0,11.657753066846363,12.074864578430953
9,0,0,0,159,11740,1783,757,44,7,1,4,2,11.511958814424093,12.103325802520471
10,1,0,0,25,67907,5948,1966,35,0,2,6,1,12.161351520994385,12.128134984486119
11,1,0,0,65,161,23,79,0,3,2,7,1,12.065507124954884,12.059441722442894
12,1,0,2,65,35489,9351,1001,9455,0,1,7,0,11.656115544056236,12.117817627579559
13,0,0,0,132,12108,1262,20,5,2,3,16,0,11.125528304891073,11.991037224780957
14,1,1,0,15,144,23,3,0,0,1,3,0,11.432609720815652,12.012321991855513
15,0,0,0,44,43,13,0,0,2,0,0,0,10.824482100041212,11.948100136446172
16,1,1,3,170,759,45,2,13,3,0,0,0,11.813557667785357,12.117420329412308
17,1,0,0,99,18009,1348,875,52,5,2,12,0,12.731829215500802,12.315200363473142
18,0,0,0,111,3234,333,685,6,2,0,0,0,10.790878361768412,12.005033542185144
19,1,0,0,103,155,17,8,0,0,0,0,0,10.795200403677304,11.995153315442982
20,1,0,0,198,18009,1348,875,52,12,1,5,1,11.053705684473476,12.070157115825879
21,0,1,0,188,949,52,45,0,6,0,0,1,10.939126865563773,12.017906651261681
22,0,0,0,24,951,83,114,2,2,0,0,1,11.18982470671299,12.130935318314
23,0,1,2,104,1228,174,84,1,0,1,27,0,12.03948481038704,11.911200933061409
24,0,0,0,101,1376,224,84,23,4,1,2,0,11.523401766222555,11.869307457432779
25,1,0,0,48,16,0,0,0,1,2,2,0,11.743932596380597,12.143012814680086
26,1,0,3,142,1853,178,446,7,0,1,20,3,10.774568794012191,11.89388201357725
27,1,0,1,26,61,4,2,0,1,0,0,1,10.923451244179649,11.974264185078955
28,0,0,1,10,1,0,0,0,0,0,0,0,11.557095095569837,12.203409145357199
29,1,1,10,147,1023,90,89,5,3,0,0,0,11.296729869348502,12.036114955963527
30,1,0,0,13,665,52,131,0,0,1,1,0,10.890276110140167,11.961329971101577
31,1,1,0,156,14409,1439,7,3,0,2,42,4,12.523412398894857,12.10639718709953
32,1,1,2,123,17586,2112,7330,654,6,1,24,0,11.628532040845611,11.935886408413952
33,0,0,0,80,1421,94,369,4,0,1,20,0,12.578702583473229,12.027796364028703
34,1,0,1,46,32568,3973,3088,3211,2,0,0,0,12.977675074366294,12.41468479304366
35,0,0,0,63,10876,925,714,1,0,2,13,0,13.46990246087364,12.464632465755315
36,1,0,0,130,304622,34310,14209,14165,9,2,4,0,11.106940002707473,12.0100705630358
37,0,0,0,131,759,45,2,13,12,1,11,0,11.794962899792063,12.116661330154772
38,1,0,0,58,33900,4197,639,3108,8,1,2,0,11.698955344836843,12.287202993781323
39,1,1,1,87,1147,71,74,45,0,2,28,0,12.02988502385495,12.187215660386723
40,1,0,1,599,6642,2148,5629,2277,1,1,6,1,16.99194841629966,13.092017795594057
41,0,1,2,44,1023,90,89,5,2,0,0,0,13.875511760554609,12.415196681666853
42,0,1,0,94,1376,224,84,23,1,1,19,0,14.833615767996598,12.747665708571706
43,1,1,0,83,152,22,12,2,0,3,3,0,12.795358748484453,12.34457182112627
44,0,0,0,40,161,23,79,0,1,1,5,0,13.778098576319977,12.454876474819702
45,0,0,0,127,47,15,2,0,1,4,10,0,12.190148383410042,12.375621159233033
46,0,1,0,35,155,17,8,0,1,1,7,0,13.579032180614101,12.51730019255616
47,0,0,0,20,621,97,61,1,0,2,5,0,14.064910915725534,12.70894325998356
48,1,1,3,172,39687,6491,2056,4107,9,3,13,0,11.16019471757177,11.999536240397006
49,0,0,0,74,1376,224,84,23,2,1,1,0,13.25719852501069,12.21314043745344
50,0,1,0,55,298,19,14,0,1,1,20,0,16.542215096077175,12.74424761538503
51,1,1,0,59,58,12,2,0,5,1,1,0,13.036361021763721,12.376685285934052
52,1,0,4,41,365,76,60,1,0,1,14,0,13.046223703112226,12.238300188903558
53,1,1,0,82,673,104,44,4,2,1,22,1,12.860117496683246,12.195602397041375
54,1,0,1,369,3276,432,1384,197,0,3,59,0,15.9631298869798,12.533114593184877
55,0,1,0,48,152,22,12,2,0,2,10,0,11.468785821967645,12.186966918910386
56,0,0,0,65,521,66,61,5,0,2,11,0,12.054681479659347,12.227331186681658
57,1,0,0,62,379372,41845,14513,4457,1,3,5,0,13.514002873915857,12.353792442195573
58,1,1,7,139,758,76,37,0,3,0,0,0,11.260260772909906,11.997631910661338
59,1,1,0,56,152,22,12,2,0,1,10,0,13.37246693456901,12.320397233990517
60,1,0,0,38,3639,347,182,18,2,0,0,0,10.807006677284765,12.055368035246586
61,0,0,0,34,366,30,6,0,2,0,0,0,10.774062524518737,12.097990062440122
62,1,1,1,39,101129,6856,3898,1015,5,0,0,0,11.687505632753625,12.191802509236206
63,1,1,0,141,759,45,2,13,5,0,0,0,11.214748785257434,12.017322762052146
64,0,0,0,394,11,3,0,0,0,1,161,0,13.226203653128488,12.271997653221623
65,0,1,2,139,12268,837,1175,288,6,5,30,0,13.382740050406085,12.535852767216504
66,1,1,2,225,60867,4957,6713,624,0,5,31,0,14.921192460020611,12.609173518004402
67,1,1,17,67,73982,14868,12512,5089,0,2,2,0,11.475430346180696,12.154890162001317
68,1,0,5,240,4223,465,1699,14,12,1,69,0,12.334058065999898,12.132969566785938
69,0,0,0,32,11,4,0,0,0,0,0,0,10.185145083846002,11.897174625223517
70,1,0,2,27,71,5,0,0,2,0,0,0,10.818488927407433,11.93900210969727
71,1,1,0,41,604,45,4,2,5,0,0,0,11.061533067406339,11.967540186561049
72,0,0,0,120,365,76,60,1,0,1,38,0,13.358144113298607,12.259740753066074
73,1,0,1,78,91473,13493,3793,3687,4,1,20,0,11.636681458220563,12.080395365005053
74,1,1,1,82,202819,17020,7306,98,4,3,8,2,11.997105895859743,12.174460018963948
75,1,0,0,23,91473,13493,3793,3687,2,0,0,1,11.053434855200907,12.074485397748479
76,1,1,2,20,8392,792,1681,353,0,2,5,0,14.324679286037806,12.610982076649815
77,0,0,2,24,41460,7359,2860,1867,0,1,4,0,13.179657589763398,12.347050008556561
78,1,0,0,43,162,57,79,1,0,2,4,0,13.20078839531166,12.165235465834165
79,1,1,1,107,615041,126104,23439,1483,6,2,27,4,12.334355977024785,12.165158265219148
80,1,0,0,28,3350,196,467,21,2,1,2,0,12.035575994568603,12.218972644104754
81,1,0,1,45,123,48,99,0,0,0,0,1,10.894202088810351,12.090770509639858
82,1,0,0,8,108,13,18,0,0,0,0,0,12.21250414452468,12.225429348681127
83,1,1,7,191,615041,126104,23439,1483,5,3,44,1,14.548571947134835,12.336704697085626
